"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","html 1"
"https://likhumunramechhap.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","लिखुतामाकोशी गाउँपालिका | रामेछाप जिल्ला, बागमती प्रदेश","55","753","","0","0","","0","श्री गोविन्द ब. खड्का","21","श्री दिपशिखा न्यौपाने (दाहाल)","29","Search form","11","सूचना","5","","","","https://likhumunramechhap.gov.np/","","","","","","68533","529","5.008","0","","10","1","0.130","105","67","13","13","","","","","380fa9341c258a56bf7c290fb827e9df","4.866","","","","","HTTP/1.1","https://likhumunramechhap.gov.np/",""
"https://netrawatimun.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","नेत्रावती डबजोङ गाँउपालिका | बागमती प्रदेश,धादिङ, सेमजाेङ","57","774","","0","0","","0","श्री दुर्ग कुमार शाक्य","22","श्री उर्मिला तामाङ गुरुङ","24","Search form","11","Search form","11","","","","https://netrawatimun.gov.np/","","","","","","151311","1940","9.325","0","","15","2","0.270","194","126","27","27","","","","","395738b345541843ecb0ca6b55355ea8","5.136","","","","","HTTP/1.1","https://netrawatimun.gov.np/",""
"https://netrawatimun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qrr7mp","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","261","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.347","","","","","HTTP/1.1","https://netrawatimun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qrr7mp",""
"https://netrawatimun.gov.np/sites/netrawatimun.gov.np/files/IMG_5408.jpg","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","260","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.335","","","","","HTTP/1.1","https://netrawatimun.gov.np/sites/netrawatimun.gov.np/files/IMG_5408.jpg",""
"https://bhanumun.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","भानु नगरपालिका,नगरकार्यपालिकाको कार्यालय,गण्डकी प्रदेश,तनहुँ,नेपाल | ""साहित्य,पर्यटन र कृषि क्षेत्र हाम्रो,पारौ समृद्ध र समुन्नत भानु राम्रो""","141","1910","","0","0","","0","","0","","0","Search form","11","Search form","11","","","","","","","","","","110889","1267","8.735","0","","9","1","0.130","141","87","13","13","","","","","7b1c1ba887e03f7bafc37a9813a2071e","4.489","Sun, 18 Apr 2021 13:30:06 GMT","","","","HTTP/1.1","https://bhanumun.gov.np/",""
"https://sanfebagarmun.gov.np/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","संक्षिप्त परिचय | साँफेबगर नगरपालिका","36","495","","0","0","","0","","0","","0","Search form","11","Search form","11","","","","https://sanfebagarmun.gov.np/ne/node/3","","","","","","138065","1227","6.573","0","","15","1","0.130","168","108","30","30","","","","","705d618718e8e02ad1444ba9748a33f","4.485","Sun, 18 Apr 2021 22:18:10 GMT","","","","HTTP/1.1","https://sanfebagarmun.gov.np/",""
"https://rohinimun.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","रोहिणी गाउँपालिका गाउँ कार्यपालिकाको कार्यालय | धकधई, रुपन्देही प्रदेश नं -५","76","1024","","0","0","","0","सनोजकुमार यादव","14","श्री शिवकान्ति चमार","19","Search form","11","Search form","11","","","","https://rohinimun.gov.np/","","","","","","180075","2528","10.001","0","","17","1","0.130","244","137","33","29","","","","","69764cc6b76d065c21d8f2f8fc4c519d","6.000","","","","","HTTP/1.1","https://rohinimun.gov.np/",""
"https://rohinimun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qrqzmf","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","261","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.367","","","","","HTTP/1.1","https://rohinimun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qrqzmf",""
"https://makawanpurgadhimun.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","मकवानपुरगढी गाँउपालिका | वागमति प्रदेश,नेपाल","44","606","","0","0","","0","रामकुमार पुडासैनि","17","रामकृष्ण श्रेष्ठ","16","सुचना अधिकारीको ईमेलको प्रयोग सुचारु सम्बन्धी सुचना ।।","54","बेरोजगार दर्ताको लागि दिने निवेदनको ढँचा ।","42","","","","https://makawanpurgadhimun.gov.np/","","","","","","141772","1585","7.979","0","","15","1","0.130","172","98","8","8","","","","","1b537c84c39759c1496d88dbe6a6b510","2.236","","","","","HTTP/1.1","https://makawanpurgadhimun.gov.np/",""
"https://makawanpurgadhimun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qqishm","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","261","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.375","","","","","HTTP/1.1","https://makawanpurgadhimun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qqishm",""
"https://makawanpurgadhimun.gov.np/sites/makawanpurgadhimun.gov.np/files/styles/slickstyle/public?itok=ue1jd8-y","text/html; charset=iso-8859-1","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","410","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.313","","https://makawanpurgadhimun.gov.np/sites/makawanpurgadhimun.gov.np/files/styles/slickstyle/public/?itok=ue1jd8-y","HTTP Redirect","","HTTP/1.1","https://makawanpurgadhimun.gov.np/sites/makawanpurgadhimun.gov.np/files/styles/slickstyle/public?itok=ue1jd8-y",""
"https://makawanpurgadhimun.gov.np/sites/makawanpurgadhimun.gov.np/files/styles/slickstyle/public/?itok=ue1jd8-y","text/html; charset=utf-8","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","10769","0","0.000","1","","1","1","0.130","0","0","0","0","","","","","","0.822","","","","","HTTP/1.1","https://makawanpurgadhimun.gov.np/sites/makawanpurgadhimun.gov.np/files/styles/slickstyle/public/?itok=ue1jd8-y",""
"https://bhageshwormun.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","भागेश्वोर गाउँपालिका गाउँ कार्यपालिकाको कार्यालय | सुदुरपश्चिम प्रदेश ,नेपाल","76","1050","","0","0","","0","हर्ष बहादुर रोका","16","भुवन राज पाण्डेय","16","Search form","11","Search form","11","","","","https://bhageshwormun.gov.np/","","","","","","135148","1653","8.990","0","","17","1","0.130","156","95","18","18","","","","","ead317d8652167f364e69cf52462297d","2.147","","","","","HTTP/1.1","https://bhageshwormun.gov.np/",""
"https://bhageshwormun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qcj3gs","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","261","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.348","","","","","HTTP/1.1","https://bhageshwormun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qcj3gs",""
